time,system_demand,demand_7da,temp
2023-01-10 10:00:00,26685.0,25433.45,58.82
2023-01-10 11:00:00,26747.0,25101.44,54.66
2023-01-10 12:00:00,26775.0,25074.23,54.9
2023-01-10 13:00:00,26263.0,25149.06,56.23
2023-01-10 14:00:00,25672.0,25306.09,57.49
2023-01-10 15:00:00,25855.0,25927.96,57.45
2023-01-10 16:00:00,26884.0,27008.01,57.52
2023-01-10 17:00:00,28281.0,28724.26,56.64
2023-01-10 18:00:00,28256.0,28788.02,54.81
2023-01-10 19:00:00,27701.0,28080.05,53.78
2023-01-10 20:00:00,27018.0,27080.46,52.97
2023-01-10 21:00:00,25916.0,26025.85,52.43
2023-01-10 22:00:00,24518.0,24448.6,51.51
2023-01-10 23:00:00,23493.0,22942.27,51.3
2023-01-11 00:00:00,22594.0,22065.65,50.83
2023-01-11 01:00:00,21997.0,21294.86,50.02
2023-01-11 02:00:00,21894.0,20834.87,49.59
2023-01-11 03:00:00,21761.0,20705.92,48.7
2023-01-11 04:00:00,22183.0,21201.39,48.29
2023-01-11 05:00:00,23792.0,22598.76,48.04
2023-01-11 06:00:00,26131.0,24971.59,47.84
2023-01-11 07:00:00,27392.0,26373.63,47.23
2023-01-11 08:00:00,27704.0,26167.8,48.16
2023-01-11 09:00:00,27813.0,25558.26,50.41
2023-01-11 10:00:00,26886.0,24900.86,52.5
2023-01-11 11:00:00,26175.0,24486.38,56.16
2023-01-11 12:00:00,25937.0,24346.25,58.62
2023-01-11 13:00:00,25887.0,24522.67,60.26
2023-01-11 14:00:00,26116.0,24991.41,61.2
2023-01-11 15:00:00,26657.0,25655.59,61.12
2023-01-11 16:00:00,27901.0,26937.05,59.54
2023-01-11 17:00:00,29006.0,28971.59,57.92
2023-01-11 18:00:00,28899.0,29086.89,56.14
2023-01-11 19:00:00,28354.0,28343.38,54.5
2023-01-11 20:00:00,27614.0,27404.5,53.35
2023-01-11 21:00:00,26571.0,26410.49,52.83
2023-01-11 22:00:00,24963.0,24862.08,52.36
2023-01-11 23:00:00,23862.0,23318.73,52.63
2023-01-12 00:00:00,23405.0,22009.19,52.74
2023-01-12 01:00:00,22844.0,21251.8,52.68
2023-01-12 02:00:00,22554.0,20777.56,52.74
2023-01-12 03:00:00,22341.0,20644.81,52.84
2023-01-12 04:00:00,22410.0,20976.25,52.41
2023-01-12 05:00:00,23398.0,22319.57,52.56
2023-01-12 06:00:00,25269.0,24693.62,52.43
2023-01-12 07:00:00,26191.0,26230.08,52.59
2023-01-12 08:00:00,26057.0,26153.13,54.41
2023-01-12 09:00:00,25864.0,25708.64,57.49
2023-01-12 10:00:00,24657.0,25215.56,61.65
2023-01-12 11:00:00,23911.0,24841.96,64.67
2023-01-12 12:00:00,23499.0,24718.71,67.39
2023-01-12 13:00:00,23271.0,24734.6,69.21
2023-01-12 14:00:00,22986.0,24755.47,69.93
2023-01-12 15:00:00,24876.0,25261.96,69.4
2023-01-12 16:00:00,25411.0,26386.41,68.02
2023-01-12 17:00:00,26952.0,28286.39,64.87
2023-01-12 18:00:00,27029.0,28380.04,61.74
2023-01-12 19:00:00,26454.0,27694.43,60.84
2023-01-12 20:00:00,25774.0,26800.3,59.58
2023-01-12 21:00:00,24906.0,25774.77,58.53
2023-01-12 22:00:00,23707.0,24333.89,58.05
2023-01-12 23:00:00,22693.0,22982.61,57.76
2023-01-13 00:00:00,21854.0,21729.16,57.15
2023-01-13 01:00:00,21285.0,20942.04,57.31
2023-01-13 02:00:00,20793.0,20453.53,56.52
2023-01-13 03:00:00,20529.0,20344.64,56.39
2023-01-13 04:00:00,21107.0,20807.55,55.67
2023-01-13 05:00:00,22452.0,22107.4,54.88
2023-01-13 06:00:00,24516.0,24360.43,55.74
2023-01-13 07:00:00,25724.0,25754.53,55.27
2023-01-13 08:00:00,25779.0,25713.16,57.36
2023-01-13 09:00:00,25669.0,25345.54,58.28
2023-01-13 10:00:00,25692.0,25036.5,61.65
2023-01-13 11:00:00,25739.0,24682.09,64.65
2023-01-13 12:00:00,25574.0,24546.5,65.46
2023-01-13 13:00:00,24760.0,24589.09,65.52
2023-01-13 14:00:00,24427.0,24632.89,63.84
2023-01-13 15:00:00,24605.0,24960.95,64.08
2023-01-13 16:00:00,25644.0,26129.43,63.7
2023-01-13 17:00:00,27081.0,27888.77,61.3
2023-01-13 18:00:00,26797.0,27849.16,57.79
2023-01-13 19:00:00,26246.0,27061.11,55.99
2023-01-13 20:00:00,25559.0,26175.49,55.36
2023-01-13 21:00:00,24781.0,25340.36,54.84
2023-01-13 22:00:00,23391.0,24063.26,55.09
2023-01-13 23:00:00,22106.0,22749.81,54.68
2023-01-14 00:00:00,21534.0,21625.96,54.45
2023-01-14 01:00:00,20914.0,20951.63,54.37
2023-01-14 02:00:00,20405.0,20411.9,54.18
2023-01-14 03:00:00,20181.0,20126.08,53.78
2023-01-14 04:00:00,20249.0,20208.42,53.76
2023-01-14 05:00:00,20816.0,20743.85,53.22
2023-01-14 06:00:00,21689.0,21828.34,52.92
2023-01-14 07:00:00,22228.0,22593.4,52.95
2023-01-14 08:00:00,23148.0,23185.35,53.56
2023-01-14 09:00:00,23941.0,23523.91,54.39
2023-01-14 10:00:00,24310.0,23508.31,54.63
